bathrooms,bedrooms,link,listing_id,listing_type,location,price,size_sqm,title
,,https://www.dubizzle.com.om/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A8%D9%85%D9%88%D8%A7%D8%B5%D9%81%D8%A7%D8%AA-%D9%85%D9%85%D9%8A%D8%B2%D8%A9-%D9%88%D8%A8%D8%AC%D9%88%D8%AF%D8%A9-%D9%85%D9%85%D8%AA%D8%A7%D8%B2%D8%A9-%D9%81%D8%B1%D8%B5%D8%A9-%D8%B1%D8%A7%D8%A6%D8%B9%D8%A9-%D9%84%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1-%D8%A7%D9%88-%D8%A7%D9%84%D8%B3%D9%83%D9%86-ID130488968.html,ID130488968.html,,,"OMR 46,000",,شقة للبيع بمواصفات مميزة وبجودة ممتازة فرصة رائعة للاستثمار او السكن
,,https://www.dubizzle.com.om/en/ad/1-bhk-apartment-for-sale-in-muscat-yiti-%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D8%B3%D9%82%D8%B7-freehold-ID130488715.html,ID130488715.html,,,"OMR 87,000",,1 BHK Apartment for Sale in Muscat - Yiti – شقة للبيع في مسقط FreeHold
,,https://www.dubizzle.com.om/en/ad/furnished-3-bedroom-lakefront-villa-for-sale-in-hawana-salalah-ID130367511.html,ID130367511.html,,,"OMR 244,000",,Furnished 3-Bedroom Lakefront Villa for Sale in Hawana Salalah
,,https://www.dubizzle.com.om/en/ad/luxury-apartmentmouj-muscat-freehold-ownershippermanent-residency-ID130258418.html,ID130258418.html,,,"OMR 125,000",,Luxury Apartment|Mouj Muscat |Freehold Ownership|Permanent Residency
,,https://www.dubizzle.com.om/en/ad/5-br-spacious-villa-in-azaiba-nearby-amenities-ID130480123.html,ID130480123.html,,,"OMR 197,000",,5 BR Spacious Villa in Azaiba Nearby Amenities
,,https://www.dubizzle.com.om/en/ad/luxury-2br-corner-apartment-with-sea-marina-views-juman-2-al-mouj-ID130491086.html,ID130491086.html,,,"OMR 210,000",,"Luxury 2BR Corner Apartment with Sea & Marina Views – Juman 2, Al Mouj"
,,https://www.dubizzle.com.om/en/ad/luxury-layout-2-balconies-2080-payment-plan-wadi-zaha-ID130182437.html,ID130182437.html,,,"OMR 87,348",,Luxury Layout | 2 Balconies | 20/80 Payment Plan | Wadi Zaha
,,https://www.dubizzle.com.om/en/ad/spacious-ground-floor-apartment-for-sale-marsa-3-al-mouj-muscat-ID130490299.html,ID130490299.html,,,"OMR 135,000",,"Spacious Ground Floor Apartment for Sale – Marsa 3, Al Mouj Muscat"
,,https://www.dubizzle.com.om/en/ad/modern-2-bedroom-apartment-for-sale-in-al-mouj-al-murooj-omr-165k-ID130490263.html,ID130490263.html,,,"OMR 165,000",,Modern 2-Bedroom Apartment for Sale in Al Mouj – Al Murooj | OMR 165k
,,https://www.dubizzle.com.om/en/ad/modern-townhouse-for-sale-al-mouj-luban-omr-205000-ID130490152.html,ID130490152.html,,,"OMR 205,000",,"Modern Townhouse for Sale – Al Mouj Luban | OMR 205,000"
,,https://www.dubizzle.com.om/en/ad/exclusive-furnished-3-bedroom-villa-for-sale-in-hawana-salalah-ID130367595.html,ID130367595.html,,,"OMR 249,000",,Exclusive Furnished 3-Bedroom Villa for Sale in Hawana Salalah
,,https://www.dubizzle.com.om/en/ad/%D8%A7%D8%B1%D8%AE%D8%B5-%D9%81%DB%8C%D9%84%D8%A7-%D9%82%DB%8C%D8%AF-%D8%A7%D9%84%D8%A7%D9%86%D8%B4%D8%A7%D8%A1-%D8%AA%D9%82%D8%B3%DB%8C%D8%B7-%D9%85%D9%88%D8%AC-%D9%85%D8%B3%D9%82%D8%B7-5-%D8%BA%D8%B1%D9%81-%D9%86%D9%88%D9%85-%D8%B7%D8%A7%D8%A8%D9%82%DB%8C%D9%86-ID130058008.html,ID130058008.html,,,"OMR 573,300",,ارخص فیلا قید الانشاء | تقسیط | موج مسقط | 5 غرف نوم | طابقین
,,https://www.dubizzle.com.om/en/ad/luxury-sea-view-apartment-for-sale-juman-2-al-mouj-muscat-ID130488500.html,ID130488500.html,,,"OMR 215,000",,"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat"
,,https://www.dubizzle.com.om/en/ad/3-1-fully-furnished-villa-for-sale-in-al-khoud-with-garden-pool-ID130473813.html,ID130473813.html,,,"OMR 150,000",,3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool
,,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%AC%D8%AF%D9%8A%D8%AF%D9%87-%D8%B1%D8%A7%D9%82%D9%8A%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%A8%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB%D8%A9-ID127849599.html,ID127849599.html,,,"OMR 120,000",,‎فيلا جديده راقيه للبيع في المعبيلة الثالثة
,,https://www.dubizzle.com.om/en/ad/%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%AE%D9%85%D8%B3-%D8%A7%D8%B1%D8%A7%D8%B6%D9%8A-%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%83%D9%84-%D9%85%D9%86%D9%87%D9%86-16800-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D9%81%D9%8A-%D9%88%D9%84%D8%A7%D9%8A%D8%A9-%D8%A8%D8%B1%D9%83%D8%A7%D8%A1-ID129792393.html,ID129792393.html,,,"OMR 350,000",,أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء
,,https://www.dubizzle.com.om/en/ad/%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A7%D9%88-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1-%D8%A8%D9%86%D8%A7%D9%8A%D8%A9-%D8%B3%D9%83%D9%86%D9%8A%D9%87-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9-ID129792295.html,ID129792295.html,,,"OMR 250,000",,أرض للبيع او الاستثمار بناية سكنيه تجارية
,,https://www.dubizzle.com.om/en/ad/%D8%A7%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B3%D9%83%D9%86%D9%8A-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A-%D9%81%D9%8A-%D8%BA%D9%84%D8%A7%D8%A1-land-for-sale-in-ghala-ID129789432.html,ID129789432.html,,,OMR 500,,ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala
,,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%B1%D8%A7%D9%82%D9%8A%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%AE%D9%88%D8%B6-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3%D9%87-ID130303578.html,ID130303578.html,,,"OMR 285,000",,فيلا راقيه للبيع في الخوض السادسه
,,https://www.dubizzle.com.om/en/ad/%D8%A7%D9%84%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%85%D8%B3%D8%A7%D8%AD%D9%87-%D9%A2%D9%A1%D9%A0%D9%A8-%D9%85-ID130483952.html,ID130483952.html,,,"OMR 50,000",,الأرض للبيع مساحه ٢١٠٨ م
,,https://www.dubizzle.com.om/en/ad/luxury-2br-corner-apartment-with-sea-marina-views-juman-2-al-mouj-ID130491086.html,ID130491086.html,,,"OMR 210,000",,"Luxury 2BR Corner Apartment with Sea & Marina Views – Juman 2, Al Mouj"
,,https://www.dubizzle.com.om/en/ad/luxury-layout-2-balconies-2080-payment-plan-wadi-zaha-ID130182437.html,ID130182437.html,,,"OMR 87,348",,Luxury Layout | 2 Balconies | 20/80 Payment Plan | Wadi Zaha
,,https://www.dubizzle.com.om/en/ad/spacious-ground-floor-apartment-for-sale-marsa-3-al-mouj-muscat-ID130490299.html,ID130490299.html,,,"OMR 135,000",,"Spacious Ground Floor Apartment for Sale – Marsa 3, Al Mouj Muscat"
,,https://www.dubizzle.com.om/en/ad/modern-2-bedroom-apartment-for-sale-in-al-mouj-al-murooj-omr-165k-ID130490263.html,ID130490263.html,,,"OMR 165,000",,Modern 2-Bedroom Apartment for Sale in Al Mouj – Al Murooj | OMR 165k
,,https://www.dubizzle.com.om/en/ad/modern-townhouse-for-sale-al-mouj-luban-omr-205000-ID130490152.html,ID130490152.html,,,"OMR 205,000",,"Modern Townhouse for Sale – Al Mouj Luban | OMR 205,000"
,,https://www.dubizzle.com.om/en/ad/exclusive-furnished-3-bedroom-villa-for-sale-in-hawana-salalah-ID130367595.html,ID130367595.html,,,"OMR 249,000",,Exclusive Furnished 3-Bedroom Villa for Sale in Hawana Salalah
,,https://www.dubizzle.com.om/en/ad/%D8%A7%D8%B1%D8%AE%D8%B5-%D9%81%DB%8C%D9%84%D8%A7-%D9%82%DB%8C%D8%AF-%D8%A7%D9%84%D8%A7%D9%86%D8%B4%D8%A7%D8%A1-%D8%AA%D9%82%D8%B3%DB%8C%D8%B7-%D9%85%D9%88%D8%AC-%D9%85%D8%B3%D9%82%D8%B7-5-%D8%BA%D8%B1%D9%81-%D9%86%D9%88%D9%85-%D8%B7%D8%A7%D8%A8%D9%82%DB%8C%D9%86-ID130058008.html,ID130058008.html,,,"OMR 573,300",,ارخص فیلا قید الانشاء | تقسیط | موج مسقط | 5 غرف نوم | طابقین
,,https://www.dubizzle.com.om/en/ad/luxury-sea-view-apartment-for-sale-juman-2-al-mouj-muscat-ID130488500.html,ID130488500.html,,,"OMR 215,000",,"Luxury Sea View Apartment for Sale – Juman 2, Al Mouj, Muscat"
,,https://www.dubizzle.com.om/en/ad/3-1-fully-furnished-villa-for-sale-in-al-khoud-with-garden-pool-ID130473813.html,ID130473813.html,,,"OMR 150,000",,3 + 1 Fully Furnished Villa for Sale in Al Khoud with Garden & Pool
,,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%AC%D8%AF%D9%8A%D8%AF%D9%87-%D8%B1%D8%A7%D9%82%D9%8A%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D8%B9%D8%A8%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%84%D8%AB%D8%A9-ID127849599.html,ID127849599.html,,,"OMR 120,000",,‎فيلا جديده راقيه للبيع في المعبيلة الثالثة
,,https://www.dubizzle.com.om/en/ad/%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%AE%D9%85%D8%B3-%D8%A7%D8%B1%D8%A7%D8%B6%D9%8A-%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9-%D9%85%D8%B3%D8%A7%D8%AD%D8%A9-%D9%83%D9%84-%D9%85%D9%86%D9%87%D9%86-16800-%D9%85%D8%AA%D8%B1-%D9%85%D8%B1%D8%A8%D8%B9-%D9%81%D9%8A-%D9%88%D9%84%D8%A7%D9%8A%D8%A9-%D8%A8%D8%B1%D9%83%D8%A7%D8%A1-ID129792393.html,ID129792393.html,,,"OMR 350,000",,أرض للبيع خمس اراضي زراعية مساحة كل منهن 16800 متر مربع في ولاية بركاء
,,https://www.dubizzle.com.om/en/ad/%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%A7%D9%88-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%AB%D9%85%D8%A7%D8%B1-%D8%A8%D9%86%D8%A7%D9%8A%D8%A9-%D8%B3%D9%83%D9%86%D9%8A%D9%87-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A%D8%A9-ID129792295.html,ID129792295.html,,,"OMR 250,000",,أرض للبيع او الاستثمار بناية سكنيه تجارية
,,https://www.dubizzle.com.om/en/ad/%D8%A7%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D8%B3%D9%83%D9%86%D9%8A-%D8%AA%D8%AC%D8%A7%D8%B1%D9%8A-%D9%81%D9%8A-%D8%BA%D9%84%D8%A7%D8%A1-land-for-sale-in-ghala-ID129789432.html,ID129789432.html,,,OMR 500,,ارض للبيع سكني تجاري في غلاء - Land for sale in Ghala
,,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D8%B1%D8%A7%D9%82%D9%8A%D9%87-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%A7%D9%84%D8%AE%D9%88%D8%B6-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3%D9%87-ID130303578.html,ID130303578.html,,,"OMR 285,000",,فيلا راقيه للبيع في الخوض السادسه
,,https://www.dubizzle.com.om/en/ad/%D8%A7%D9%84%D8%A3%D8%B1%D8%B6-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%85%D8%B3%D8%A7%D8%AD%D9%87-%D9%A2%D9%A1%D9%A0%D9%A8-%D9%85-ID130483952.html,ID130483952.html,,,"OMR 50,000",,الأرض للبيع مساحه ٢١٠٨ م
,,https://www.dubizzle.com.om/en/ad/%D8%B4%D9%82%D8%A9-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%AC%D8%A8%D9%84-%D8%B3%D9%8A%D9%81%D8%A9-apartment-for-sale-with-direct-sea-view-sifah-ID130075608.html,ID130075608.html,,,"OMR 95,000",,"شقة للبيع في جبل سيفة  Apartment for Sale with Direct sea view, Sifah"
,,https://www.dubizzle.com.om/en/ad/advs1501-new-villa-modern-and-well-designed-4-bhk-villa-for-sale-in-ID130482825.html,ID130482825.html,,,"OMR 98,000",,"ADVS1501** New Villa, Modern And Well Designed 4 BHK Villa For Sale in"
,,https://www.dubizzle.com.om/en/ad/2bedroom-lake-view-apartment-for-sale-in-hawana-salalah-ID130188400.html,ID130188400.html,,,"OMR 85,000",,2Bedroom Lake View Apartment for Sale in Hawana Salalah
,,https://www.dubizzle.com.om/en/ad/furnished-1-bedroom-apartment-for-sale-in-hawana-salalah-pool-view-ID130187754.html,ID130187754.html,,,"OMR 50,000",,Furnished 1-Bedroom Apartment for Sale in Hawana Salalah – Pool View
,,https://www.dubizzle.com.om/en/ad/2bhk-penthouse-apartment-with-stunning-view-for-sale-in-jebel-sifah-ID130270582.html,ID130270582.html,,,"OMR 95,000",,2BHK Penthouse Apartment with Stunning View – For Sale in Jebel Sifah
,,https://www.dubizzle.com.om/en/ad/%D9%81%D9%8A%D9%84%D8%A7-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86-%D9%87%D9%8A%D8%AB%D9%85-villa-for-sale-sultan-haitham-city-ID130027596.html,ID130027596.html,,,"OMR 175,000",,"فيلا للبيع في مدينة السلطان هيثم | Villa For Sale, Sultan Haitham City"
,,https://www.dubizzle.com.om/en/ad/%D8%B4%D9%82%D9%82-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D8%B3%D9%84%D8%B7%D8%A7%D9%86-%D9%87%D9%8A%D8%AB%D9%85-apartments-for-sale-in-sultan-haitham-ID130151507.html,ID130151507.html,,,"OMR 53,922",,شقق للبيع في مدينة السلطان هيثم  Apartments for Sale in Sultan Haitham
,,https://www.dubizzle.com.om/en/ad/2-bedroom-apartment-in-jebel-sifah-%D8%B4%D9%82%D8%A9-%D8%BA%D8%B1%D9%81%D8%AA%D9%8A%D9%86-%D9%84%D9%84%D8%A8%D9%8A%D8%B9-%D9%81%D9%8A-%D8%AC%D8%A8%D9%84-%D8%B3%D9%8A%D9%81%D8%A9-ID130022533.html,ID130022533.html,,,"OMR 73,000",,2-Bedroom Apartment in Jebel Sifah   شقة غرفتين للبيع في جبل سيفة
,,https://www.dubizzle.com.om/en/ad/farm-21-bedrooms-in-jebel-sifah-%D8%B4%D8%A7%D9%84%D9%8A%D9%87-%D8%BA%D8%B1%D9%81%D8%AA%D9%8A%D9%86-%D8%B9%D8%A7%D9%85%D9%84%D8%A9-%D9%81%D9%8A-%D8%AC%D8%A8%D9%84-%D8%B3%D9%8A%D9%81%D8%A9-ID129344708.html,ID129344708.html,,,"OMR 170,000",,Farm 2+1 Bedrooms in Jebel Sifah | شاليه غرفتين + عاملة في جبل سيفة
,,https://www.dubizzle.com.om/en/ad/live-in-style-2br-maids-room-apartment-jebel-sifah-ID130183132.html,ID130183132.html,,,"OMR 110,000",,"Live in Style: 2BR + Maid’s Room Apartment, Jebel Sifah"
